pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
176.208913,-89.090143,177.0,bottom,LED01,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
153.928334,-87.110046,178.0,bottom,LED02,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
131.975997,-85.709926,179.0,bottom,LED03,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-84.69314,180.0,bottom,LED04,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
88.049643,-86.059694,-179.0,bottom,LED05,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
66.123913,-87.809172,-178.0,bottom,LED06,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
43.876034,-90.138108,-177.0,bottom,LED07,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
44.977706,-111.15926,3.0,bottom,LED08,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
66.858547,-108.846348,2.0,bottom,LED09,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
88.417016,-107.106488,1.0,bottom,LED10,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-105.74314,0.0,bottom,LED11,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
131.608623,-106.75672,-1.0,bottom,LED12,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
153.1937,-108.147223,-2.0,bottom,LED13,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
175.107241,-110.111294,-3.0,bottom,LED14,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
174.00557,-131.132446,177.0,bottom,LED15,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
152.459065,-129.1844,178.0,bottom,LED16,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
131.24125,-127.803514,179.0,bottom,LED17,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-126.79314,180.0,bottom,LED18,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
88.784389,-128.153282,-179.0,bottom,LED19,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
67.593181,-129.883525,-178.0,bottom,LED20,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
