Designator,Mid X,Mid Y,Rotation,Layer
S14,89.238326,-154.159321,359.0,bottom
S15,88.870953,-133.112527,359.0,bottom
S16,88.50358,-112.065733,359.0,bottom
S17,88.136207,-91.018939,359.0,bottom
S18,110.002567,-194.90314,0.0,bottom
S19,110.002567,-173.85314,0.0,bottom
S2,48.542308,-179.175917,357.0,bottom
S20,110.002567,-152.80314,0.0,bottom
S21,110.002567,-131.75314,0.0,bottom
S22,110.002567,-110.70314,0.0,bottom
S23,110.002567,-89.65314,0.0,bottom
S24,130.052567,-195.90314,1.0,bottom
S25,130.41994,-174.856346,1.0,bottom
S26,130.787313,-153.809552,1.0,bottom
S27,131.154686,-132.762758,1.0,bottom
S28,131.52206,-111.715964,1.0,bottom
S29,131.889433,-90.66917,1.0,bottom
S3,47.440636,-158.154766,357.0,bottom
S30,150.816695,-176.215732,2.0,bottom
S31,151.551329,-155.178555,2.0,bottom
S32,152.285964,-134.141378,2.0,bottom
S33,153.020598,-113.104201,2.0,bottom
S34,153.755233,-92.067024,2.0,bottom
S35,160.073686,-198.427367,4.0,bottom
S36,171.542639,-178.127952,3.0,bottom
S37,172.644311,-157.1068,3.0,bottom
S38,173.745983,-136.085649,3.0,bottom
S39,174.847655,-115.064497,3.0,bottom
S4,46.338964,-137.133614,357.0,bottom
S40,175.949327,-94.043345,3.0,bottom
S5,45.237292,-116.112462,357.0,bottom
S6,44.13562,-95.091311,357.0,bottom
S7,69.235552,-176.914858,358.0,bottom
S8,68.500917,-155.877681,358.0,bottom
S9,67.766283,-134.840504,358.0,bottom
