Ref,Val,Package,PosX,PosY,Rot,Side
"C28","C710467","C_1206_3216Metric",94.623743,-190.520870,91.000000,bottom
"C29","C710467","C_1206_3216Metric",93.888997,-148.427282,91.000000,bottom
"C30","C710467","C_1206_3216Metric",93.154250,-106.333694,91.000000,bottom
"C31","C710467","C_1206_3216Metric",114.752567,-189.253140,90.000000,bottom
"C32","C710467","C_1206_3216Metric",114.752567,-147.153140,90.000000,bottom
"C33","C710467","C_1206_3216Metric",114.752567,-105.053140,90.000000,bottom
"C34","C710467","C_1206_3216Metric",134.900449,-190.336900,89.000000,bottom
"C35","C710467","C_1206_3216Metric",135.635196,-148.243312,89.000000,bottom
"C36","C710467","C_1206_3216Metric",136.369942,-106.149724,89.000000,bottom
"C37","C710467","C_1206_3216Metric",156.495618,-149.697769,88.000000,bottom
"C38","C710467","C_1206_3216Metric",157.964887,-107.623416,88.000000,bottom
"C39","C710467","C_1206_3216Metric",165.206239,-193.122473,86.000000,bottom
"C40","C710467","C_1206_3216Metric",177.683500,-151.713139,87.000000,bottom
"C41","C710467","C_1206_3216Metric",179.886844,-109.670836,87.000000,bottom
"D1","C7420318","D_1206_3216Metric",54.595612,-208.399848,94.000000,bottom
"D2","C7420318","D_1206_3216Metric",42.971729,-188.004558,93.000000,bottom
"D3","C7420318","D_1206_3216Metric",41.870057,-166.983407,93.000000,bottom
"D4","C7420318","D_1206_3216Metric",40.768385,-145.962255,93.000000,bottom
"D5","C7420318","D_1206_3216Metric",39.666713,-124.941103,93.000000,bottom
"D6","C7420318","D_1206_3216Metric",38.565041,-103.919951,93.000000,bottom
"D7","C7420318","D_1206_3216Metric",63.511740,-185.644934,92.000000,bottom
"D8","C7420318","D_1206_3216Metric",62.777106,-164.607757,92.000000,bottom
"D9","C7420318","D_1206_3216Metric",62.042471,-143.570580,92.000000,bottom
"D10","C7420318","D_1206_3216Metric",61.307837,-122.533403,92.000000,bottom
"D11","C7420318","D_1206_3216Metric",60.573203,-101.496226,92.000000,bottom
"D12","C7420318","D_1206_3216Metric",84.097772,-204.881761,91.000000,bottom
"D13","C7420318","D_1206_3216Metric",83.730399,-183.834967,91.000000,bottom
"D14","C7420318","D_1206_3216Metric",83.363026,-162.788173,91.000000,bottom
